DEPT_ID|DEPT_NAME|MANAGER_ID|PHONENUMBER|ADDRESS|COUNTRY
001|Administration|E200|+39-397-555-899|10125 Torino|IT
002|Marketing|E201|+33-655-502-403|58240 Chantenay-Saint-Imbert|FR
003|Purchasing|E114|+39-313-555-893|10129 Torino|IT
004|Human Resources|E203|+33-735-558-540|36100 Meunet-Planches|FR
005|IT|E121|+39-366-555-7333|00144 Roma|IT
006|IT|E103|+56-955-591-124|10300000 Santiago de Chile|CL
007|Public Relations|E204|+56-955-544-894|10300000 Santiago de Chile|CL
008|Sales|E145|+34-755-587-7|20006 Madrid|ES
009|Executive|E100|+34-755-523-9|20006 Madrid|ES
010|Finance|E108|+39-350-555-5154|00152 Roma|IT
011|Accounting|E205|+34-755-515-0|20006 Madrid|ES
012|Treasury|E012|+39-371-055-5524|40125 Bologna|IT
013|Corporate Tax|E004|+39-368-555-663|40135 Bologna|IT
014|Control And Credit|E120|+39-385-555-1931|30141 Venezia|IT
015|Shareholder Services|E107|+39-310-555-726|20125 Milano|IT
016|Benefits|E112|+39-313-555-546|20125 Milano|IT
